experiment,graph_id,graph_type,model,repetition,attack_id,attack_type,strategy,fraction_removed,nodes_removed,gcc_fraction,gcc_size,avg_path_length_gcc,diameter_gcc,global_efficiency,global_clustering,avg_local_clustering,mean_degree,max_degree,degree_std
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.56,168,0.44,132,4.843395789960676,10,0.25448078568306376,0.47380410022779046,0.4764670514670515,4.666666666666667,9,1.6862486007212412
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.58,174,0.42,126,5.008126984126984,10,0.24859022423783736,0.4860050890585242,0.49076593600403123,4.507936507936508,9,1.7031531530180788
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.6,180,0.4,120,5.1949579831932775,12,0.2454763268943933,0.4818941504178273,0.47205026455026455,4.383333333333334,9,1.7662735411657569
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.62,186,0.3566666666666667,107,4.952213013577852,11,0.22767287397003447,0.47619047619047616,0.457692843219159,4.2105263157894735,9,1.7495547514310172
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.64,192,0.33666666666666667,101,5.5089108910891085,14,0.21321443978505678,0.48957055214723927,0.477961493239271,4.0,9,1.758576865704935
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.66,198,0.3233333333333333,97,5.638745704467354,15,0.21791862713528562,0.4891304347826087,0.4973000311235605,3.9215686274509802,9,1.7245987001800802
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.68,204,0.30333333333333334,91,5.87008547008547,15,0.21167157099722775,0.4762684124386252,0.4726273148148148,3.6666666666666665,9,1.717960677340692
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.7000000000000001,210,0.2866666666666667,86,6.007113543091656,16,0.2121392201916538,0.44223107569721115,0.42298941798941797,3.4444444444444446,8,1.6540261391936353
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.72,216,0.25333333333333335,76,5.890526315789474,16,0.19678330291497118,0.43990384615384615,0.3924319727891157,3.2142857142857144,8,1.669555319834115
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.74,222,0.19666666666666666,59,5.5751022793687905,14,0.15464660030094668,0.4473684210526316,0.3474358974358974,3.0,7,1.6641005886756874
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.76,228,0.18,54,5.76869322152341,15,0.15148122938615924,0.4581818181818182,0.3777116402116402,2.8055555555555554,7,1.6041516353312122
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.78,234,0.08666666666666667,26,4.473846153846154,12,0.10479510388601254,0.4549763033175355,0.35497835497835495,2.5757575757575757,7,1.5281262646209657
manual_ui_experiment,WS_n300_k10_p0.10,synthetic,watts_strogatz,0,random_failures,random,,0.8,240,0.07,21,3.1666666666666665,7,0.0855380683346784,0.4658385093167702,0.3443650793650794,2.3333333333333335,7,1.501850710142508
